"Date","Make","Quantity","Pct"
2007-01,Toyota,2884,227
2007-01,Volkswagen,2521,199
2007-01,Peugeot,1029,81
2007-01,Ford,870,69
2007-01,Volvo,693,55
2007-01,Skoda,665,52
2007-01,Opel,622,49
2007-01,Audi,599,47
2007-01,Honda,423,33
2007-01,Mercedes-Benz,362,29
2007-01,BMW,352,28
2007-01,Citroen,263,21
2007-01,Suzuki,258,2
2007-01,Mazda,191,15
2007-01,Saab,169,13
2007-01,Renault,168,13
2007-01,Mitsubishi,136,11
2007-01,Nissan,127,1
2007-01,Hyundai,97,08
2007-01,Kia,55,04
2007-01,Dodge,33,03
2007-01,MINI,26,02
2007-01,Subaru,26,02
2007-01,Lexus,22,02
2007-01,Chevrolet,20,02
2007-01,Alfa Romeo,16,01
2007-01,Daihatsu,15,01
2007-01,Land Rover,14,01
2007-01,Fiat,9,01
2007-01,Chrysler,4,0
2007-01,Iveco,4,0
2007-01,Jaguar,3,0
2007-01,Jeep,2,0
2007-01,Nilsson,2,0
2007-01,Think,2,0
2007-01,Smart,1,0
2007-01,Ssangyong,1,0
2007-01,NA,1,0
2007-02,Toyota,1885,192
2007-02,Volkswagen,1517,155
2007-02,Ford,686,7
2007-02,Peugeot,621,63
2007-02,Volvo,570,58
2007-02,Opel,551,56
2007-02,Audi,498,51
2007-02,Skoda,463,47
2007-02,Mercedes-Benz,410,42
2007-02,Honda,356,36
2007-02,BMW,335,34
2007-02,Suzuki,264,27
2007-02,Mitsubishi,262,27
2007-02,Citroen,247,25
2007-02,Mazda,239,24
2007-02,Saab,175,18
2007-02,Hyundai,149,15
2007-02,Nissan,134,14
2007-02,Kia,119,12
2007-02,Renault,84,09
2007-02,Chevrolet,35,04
2007-02,MINI,32,03
2007-02,Land Rover,30,03
2007-02,Dodge,24,02
2007-02,Daihatsu,22,02
2007-02,Subaru,18,02
2007-02,Lexus,17,02
2007-02,Alfa Romeo,9,01
2007-02,Fiat,6,01
2007-02,Jeep,6,01
2007-02,Nilsson,6,01
2007-02,Chrysler,5,01
2007-02,Jaguar,5,01
2007-02,Smart,5,01
2007-02,Chevrolet US,3,0
2007-02,Ssangyong,2,0
2007-02,Porsche,2,0
2007-02,Cadillac,1,0
2007-03,Toyota,1833,163
2007-03,Volkswagen,1428,127
2007-03,Peugeot,867,77
2007-03,Ford,766,68
2007-03,Audi,682,61
2007-03,Volvo,656,58
2007-03,Opel,578,51
2007-03,Mitsubishi,512,45
2007-03,Skoda,491,44
2007-03,Honda,399,35
2007-03,Mercedes-Benz,387,34
2007-03,BMW,365,32
2007-03,Suzuki,333,3
2007-03,Nissan,327,29
2007-03,Mazda,319,28
2007-03,Saab,243,22
2007-03,Citroen,239,21
2007-03,Hyundai,228,2
2007-03,Kia,171,15
2007-03,Renault,131,12
2007-03,Chevrolet,52,05
2007-03,Land Rover,40,04
2007-03,Jeep,33,03
2007-03,MINI,28,02
2007-03,Daihatsu,27,02
2007-03,Dodge,25,02
2007-03,Alfa Romeo,21,02
2007-03,Fiat,20,02
2007-03,Lexus,18,02
2007-03,Porsche,14,01
2007-03,Jaguar,9,01
2007-03,Subaru,7,01
2007-03,Iveco,5,0
2007-03,Cadillac,4,0
2007-03,Chrysler,3,0
2007-03,Nilsson,1,0
2007-03,NA,1,0
2007-03,Aston Martin,1,0
2007-04,Toyota,1300,147
2007-04,Volkswagen,1257,142
2007-04,Volvo,587,66
2007-04,Audi,556,63
2007-04,Peugeot,547,62
2007-04,Opel,534,6
2007-04,Ford,451,51
2007-04,Skoda,438,49
2007-04,Mercedes-Benz,387,44
2007-04,BMW,360,41
2007-04,Honda,351,4
2007-04,Suzuki,347,39
2007-04,Nissan,328,37
2007-04,Mazda,249,28
2007-04,Saab,191,22
2007-04,Citroen,179,2
2007-04,Hyundai,142,16
2007-04,Mitsubishi,104,12
2007-04,Renault,92,1
2007-04,Kia,92,1
2007-04,Chevrolet,79,09
2007-04,Subaru,77,09
2007-04,Land Rover,42,05
2007-04,MINI,31,04
2007-04,Dodge,25,03
2007-04,Alfa Romeo,20,02
2007-04,Lexus,18,02
2007-04,Daihatsu,17,02
2007-04,Chrysler,11,01
2007-04,Jeep,10,01
2007-04,Fiat,7,01
2007-04,Porsche,7,01
2007-04,Jaguar,5,01
2007-04,Iveco,5,01
2007-04,Morgan,4,0
2007-04,Cadillac,2,0
2007-04,Smart,1,0
2007-04,Think,1,0
2007-05,Volkswagen,1934,161
2007-05,Toyota,1866,155
2007-05,Volvo,805,67
2007-05,Opel,771,64
2007-05,Peugeot,743,62
2007-05,Ford,648,54
2007-05,Audi,630,52
2007-05,Honda,520,43
2007-05,Skoda,517,43
2007-05,BMW,431,36
2007-05,Mercedes-Benz,422,35
2007-05,Suzuki,420,35
2007-05,Nissan,382,32
2007-05,Mazda,325,27
2007-05,Saab,241,2
2007-05,Citroen,223,19
2007-05,Mitsubishi,222,18
2007-05,Kia,169,14
2007-05,Hyundai,155,13
2007-05,Renault,109,09
2007-05,Land Rover,91,08
2007-05,Subaru,78,06
2007-05,Jeep,72,06
2007-05,Chevrolet,65,05
2007-05,Daihatsu,36,03
2007-05,MINI,30,02
2007-05,Dodge,29,02
2007-05,Fiat,18,01
2007-05,Alfa Romeo,17,01
2007-05,Lexus,10,01
2007-05,Chrysler,8,01
2007-05,Jaguar,5,0
2007-05,Porsche,4,0
2007-05,Aston Martin,4,0
2007-05,Ssangyong,3,0
2007-05,Smart,2,0
2007-05,Morgan,2,0
2007-06,Toyota,1620,146
2007-06,Volkswagen,1531,138
2007-06,Ford,772,7
2007-06,Opel,683,62
2007-06,Volvo,662,6
2007-06,Honda,624,56
2007-06,Peugeot,569,51
2007-06,Skoda,512,46
2007-06,Audi,498,45
2007-06,BMW,477,43
2007-06,Mercedes-Benz,421,38
2007-06,Mitsubishi,414,37
2007-06,Nissan,364,33
2007-06,Mazda,296,27
2007-06,Citroen,277,25
2007-06,Suzuki,262,24
2007-06,Hyundai,204,18
2007-06,Saab,195,18
2007-06,Kia,159,14
2007-06,Renault,107,1
2007-06,Chevrolet,74,07
2007-06,Jeep,68,06
2007-06,Subaru,65,06
2007-06,Land Rover,47,04
2007-06,MINI,37,03
2007-06,Daihatsu,37,03
2007-06,Dodge,23,02
2007-06,Alfa Romeo,21,02
2007-06,Lexus,17,02
2007-06,Fiat,10,01
2007-06,Jaguar,8,01
2007-06,Smart,8,01
2007-06,Chrysler,5,0
2007-06,Porsche,5,0
2007-06,Ssangyong,5,0
2007-06,Aston Martin,3,0
2007-06,Cadillac,1,0
2007-06,Chevrolet US,1,0
2007-06,Bentley,1,0
2007-07,Toyota,1901,158
2007-07,Volkswagen,1777,147
2007-07,Volvo,1064,88
2007-07,Ford,1006,83
2007-07,Peugeot,749,62
2007-07,Opel,685,57
2007-07,Audi,562,47
2007-07,Skoda,489,41
2007-07,Mercedes-Benz,469,39
2007-07,BMW,403,33
2007-07,Honda,401,33
2007-07,Mitsubishi,381,32
2007-07,Suzuki,296,25
2007-07,Mazda,294,24
2007-07,Citroen,281,23
2007-07,Nissan,277,23
2007-07,Saab,204,17
2007-07,Hyundai,182,15
2007-07,Kia,137,11
2007-07,Renault,124,1
2007-07,Chevrolet,78,06
2007-07,Jeep,56,05
2007-07,Subaru,51,04
2007-07,Daihatsu,33,03
2007-07,Land Rover,32,03
2007-07,MINI,28,02
2007-07,Dodge,26,02
2007-07,Lexus,16,01
2007-07,Alfa Romeo,14,01
2007-07,Fiat,12,01
2007-07,Jaguar,12,01
2007-07,Smart,8,01
2007-07,Chrysler,5,0
2007-07,Porsche,3,0
2007-07,Aston Martin,3,0
2007-07,Ssangyong,1,0
2007-07,Nilsson,1,0
2007-07,NA,1,0
2007-08,Toyota,1783,165
2007-08,Volkswagen,1665,154
2007-08,Ford,816,76
2007-08,Mitsubishi,681,63
2007-08,Audi,590,55
2007-08,Peugeot,531,49
2007-08,Volvo,498,46
2007-08,Skoda,476,44
2007-08,Opel,472,44
2007-08,Mercedes-Benz,435,4
2007-08,Suzuki,392,36
2007-08,BMW,348,32
2007-08,Nissan,348,32
2007-08,Honda,296,27
2007-08,Citroen,288,27
2007-08,Mazda,237,22
2007-08,Hyundai,196,18
2007-08,Kia,122,11
2007-08,Saab,103,1
2007-08,Renault,100,09
2007-08,Subaru,92,09
2007-08,Chevrolet,67,06
2007-08,Jeep,51,05
2007-08,Daihatsu,40,04
2007-08,Lexus,30,03
2007-08,Land Rover,28,03
2007-08,MINI,24,02
2007-08,Fiat,23,02
2007-08,Dodge,13,01
2007-08,Smart,13,01
2007-08,Alfa Romeo,12,01
2007-08,Jaguar,5,0
2007-08,Ssangyong,3,0
2007-08,Cadillac,3,0
2007-08,Chrysler,1,0
2007-08,Porsche,1,0
2007-08,Iveco,1,0
2007-08,Think,1,0
2007-08,Lancia,1,0
2007-09,Volkswagen,1373,147
2007-09,Toyota,1303,14
2007-09,Ford,679,73
2007-09,Volvo,662,71
2007-09,Mitsubishi,553,59
2007-09,Nissan,432,46
2007-09,Peugeot,426,46
2007-09,Opel,414,44
2007-09,Audi,393,42
2007-09,Honda,358,38
2007-09,Skoda,354,38
2007-09,Suzuki,314,34
2007-09,Mercedes-Benz,298,32
2007-09,BMW,271,29
2007-09,Mazda,266,28
2007-09,Hyundai,247,26
2007-09,Saab,220,24
2007-09,Citroen,184,2
2007-09,Kia,158,17
2007-09,Subaru,85,09
2007-09,Renault,69,07
2007-09,Chevrolet,57,06
2007-09,Jeep,34,04
2007-09,Land Rover,32,03
2007-09,Fiat,32,03
2007-09,MINI,26,03
2007-09,Daihatsu,26,03
2007-09,Lexus,25,03
2007-09,Alfa Romeo,15,02
2007-09,Dodge,12,01
2007-09,Jaguar,5,01
2007-09,Chrysler,4,0
2007-09,Porsche,4,0
2007-09,Smart,3,0
2007-09,Ssangyong,2,0
2007-09,Nilsson,1,0
2007-09,Morgan,1,0
2007-09,Lancia,1,0
2007-09,Maserati,1,0
2007-10,Volkswagen,1941,167
2007-10,Toyota,1648,142
2007-10,Volvo,1014,87
2007-10,Peugeot,707,61
2007-10,Ford,693,6
2007-10,BMW,562,48
2007-10,Audi,554,48
2007-10,Opel,547,47
2007-10,Nissan,518,44
2007-10,Skoda,438,38
2007-10,Honda,428,37
2007-10,Mercedes-Benz,376,32
2007-10,Suzuki,333,29
2007-10,Mitsubishi,324,28
2007-10,Mazda,247,21
2007-10,Saab,234,2
2007-10,Hyundai,220,19
2007-10,Citroen,202,17
2007-10,Kia,145,12
2007-10,Subaru,141,12
2007-10,Renault,75,06
2007-10,Jeep,52,04
2007-10,Chevrolet,47,04
2007-10,Land Rover,39,03
2007-10,Fiat,28,02
2007-10,Daihatsu,27,02
2007-10,MINI,26,02
2007-10,Lexus,23,02
2007-10,Dodge,21,02
2007-10,Alfa Romeo,10,01
2007-10,Jaguar,7,01
2007-10,Smart,6,01
2007-10,Chrysler,4,0
2007-10,Porsche,3,0
2007-10,Ssangyong,1,0
2007-10,Cadillac,1,0
2007-10,Nilsson,1,0
2007-10,Chevrolet US,1,0
2007-10,Maserati,1,0
2007-10,Isuzu,1,0
2007-11,Toyota,1579,151
2007-11,Volkswagen,1473,141
2007-11,Volvo,710,68
2007-11,Ford,566,54
2007-11,Nissan,530,51
2007-11,BMW,525,5
2007-11,Honda,509,49
2007-11,Peugeot,479,46
2007-11,Opel,477,46
2007-11,Audi,448,43
2007-11,Skoda,447,43
2007-11,Mercedes-Benz,447,43
2007-11,Suzuki,310,3
2007-11,Mitsubishi,299,29
2007-11,Mazda,287,27
2007-11,Saab,233,22
2007-11,Subaru,220,21
2007-11,Citroen,206,2
2007-11,Kia,161,15
2007-11,Hyundai,156,15
2007-11,Renault,74,07
2007-11,Chevrolet,50,05
2007-11,MINI,48,05
2007-11,Jeep,46,04
2007-11,Fiat,40,04
2007-11,Dodge,25,02
2007-11,Land Rover,23,02
2007-11,Lexus,22,02
2007-11,Daihatsu,19,02
2007-11,Alfa Romeo,18,02
2007-11,Chrysler,9,01
2007-11,Jaguar,7,01
2007-11,Porsche,3,0
2007-11,Ssangyong,3,0
2007-11,Smart,2,0
2007-11,NA,1,0
2007-11,Maserati,1,0
2007-12,Volkswagen,1272,138
2007-12,Toyota,1081,117
2007-12,Ford,821,89
2007-12,Volvo,641,7
2007-12,Skoda,578,63
2007-12,BMW,512,56
2007-12,Opel,481,52
2007-12,Honda,471,51
2007-12,Audi,462,5
2007-12,Mercedes-Benz,456,49
2007-12,Mitsubishi,351,38
2007-12,Saab,307,33
2007-12,Nissan,244,26
2007-12,Peugeot,225,24
2007-12,Subaru,224,24
2007-12,Suzuki,201,22
2007-12,Mazda,194,21
2007-12,Kia,132,14
2007-12,Hyundai,128,14
2007-12,Citroen,120,13
2007-12,Renault,57,06
2007-12,Land Rover,56,06
2007-12,Chevrolet,44,05
2007-12,Jeep,43,05
2007-12,MINI,28,03
2007-12,Alfa Romeo,21,02
2007-12,Daihatsu,16,02
2007-12,Dodge,16,02
2007-12,Lexus,10,01
2007-12,Fiat,9,01
2007-12,Smart,6,01
2007-12,Chrysler,4,0
2007-12,Ssangyong,3,0
2007-12,Jaguar,2,0
2007-12,Porsche,2,0
2007-12,Cadillac,1,0
2007-12,Nilsson,1,0
2007-12,Maserati,1,0
2007-12,Bentley,1,0
2008-01,Toyota,1758,178
2008-01,Volkswagen,1224,124
2008-01,Ford,942,95
2008-01,Volvo,593,6
2008-01,Peugeot,592,6
2008-01,Honda,549,55
2008-01,Nissan,472,48
2008-01,Audi,429,43
2008-01,Mercedes-Benz,374,38
2008-01,BMW,368,37
2008-01,Skoda,360,36
2008-01,Suzuki,344,35
2008-01,Mitsubishi,337,34
2008-01,Opel,334,34
2008-01,Mazda,280,28
2008-01,Subaru,161,16
2008-01,Citroen,146,15
2008-01,Saab,114,12
2008-01,Kia,111,11
2008-01,Hyundai,97,1
2008-01,Renault,59,06
2008-01,MINI,55,06
2008-01,Jeep,32,03
2008-01,Lexus,30,03
2008-01,Chevrolet,28,03
2008-01,Daihatsu,24,02
2008-01,Fiat,22,02
2008-01,Land Rover,21,02
2008-01,Dodge,16,02
2008-01,Alfa Romeo,15,02
2008-01,Chrysler,5,01
2008-01,Smart,4,0
2008-01,Nilsson,3,0
2008-01,Jaguar,2,0
2008-02,Volkswagen,1767,167
2008-02,Toyota,1494,141
2008-02,Ford,1016,96
2008-02,Volvo,684,65
2008-02,Nissan,635,6
2008-02,Audi,486,46
2008-02,BMW,474,45
2008-02,Peugeot,467,44
2008-02,Skoda,426,4
2008-02,Honda,405,38
2008-02,Mitsubishi,397,38
2008-02,Opel,381,36
2008-02,Suzuki,362,34
2008-02,Mazda,305,29
2008-02,Mercedes-Benz,291,28
2008-02,Subaru,153,14
2008-02,Citroen,148,14
2008-02,Kia,133,13
2008-02,Saab,132,12
2008-02,Hyundai,128,12
2008-02,Renault,48,05
2008-02,MINI,41,04
2008-02,Jeep,39,04
2008-02,Daihatsu,26,02
2008-02,Chevrolet,21,02
2008-02,Dodge,20,02
2008-02,Fiat,19,02
2008-02,Land Rover,16,02
2008-02,Lexus,15,01
2008-02,Alfa Romeo,8,01
2008-02,Porsche,7,01
2008-02,Jaguar,6,01
2008-02,Chrysler,4,0
2008-02,Think,4,0
2008-02,Nilsson,2,0
2008-02,Ferrari,2,0
2008-02,Ssangyong,2,0
2008-02,Smart,1,0
2008-02,Cadillac,1,0
2008-02,Maserati,1,0
2008-03,Volkswagen,1503,158
2008-03,Toyota,1338,141
2008-03,Ford,713,75
2008-03,Mitsubishi,584,61
2008-03,Volvo,557,59
2008-03,Mazda,514,54
2008-03,Peugeot,502,53
2008-03,Audi,478,5
2008-03,Skoda,455,48
2008-03,Nissan,431,45
2008-03,BMW,379,4
2008-03,Opel,312,33
2008-03,Honda,293,31
2008-03,Suzuki,273,29
2008-03,Mercedes-Benz,243,26
2008-03,Hyundai,175,18
2008-03,Subaru,163,17
2008-03,Kia,120,13
2008-03,Saab,106,11
2008-03,Citroen,105,11
2008-03,Renault,55,06
2008-03,Chevrolet,37,04
2008-03,MINI,28,03
2008-03,Jeep,28,03
2008-03,Daihatsu,25,03
2008-03,Land Rover,22,02
2008-03,Fiat,17,02
2008-03,Dodge,12,01
2008-03,Lexus,11,01
2008-03,Alfa Romeo,8,01
2008-03,Jaguar,8,01
2008-03,Porsche,2,0
2008-03,Smart,2,0
2008-03,Chrysler,1,0
2008-03,Nilsson,1,0
2008-03,Ssangyong,1,0
2008-03,Cadillac,1,0
2008-03,Aston Martin,1,0
2008-03,Bentley,1,0
2008-03,Lancia,1,0
2008-04,Volkswagen,1795,153
2008-04,Toyota,1528,131
2008-04,Ford,854,73
2008-04,Volvo,732,63
2008-04,Peugeot,662,57
2008-04,Audi,662,57
2008-04,Mitsubishi,620,53
2008-04,BMW,593,51
2008-04,Skoda,537,46
2008-04,Mercedes-Benz,480,41
2008-04,Nissan,456,39
2008-04,Opel,412,35
2008-04,Suzuki,367,31
2008-04,Honda,364,31
2008-04,Mazda,317,27
2008-04,Subaru,240,21
2008-04,Hyundai,187,16
2008-04,Saab,178,15
2008-04,Citroen,170,15
2008-04,Renault,109,09
2008-04,Kia,86,07
2008-04,Fiat,72,06
2008-04,MINI,44,04
2008-04,Chevrolet,43,04
2008-04,Jeep,34,03
2008-04,Daihatsu,26,02
2008-04,Land Rover,24,02
2008-04,Jaguar,19,02
2008-04,Dodge,18,02
2008-04,Lexus,17,01
2008-04,Iveco,13,01
2008-04,Alfa Romeo,9,01
2008-04,Smart,8,01
2008-04,Morgan,8,01
2008-04,Chrysler,6,01
2008-04,Nilsson,6,01
2008-04,Porsche,2,0
2008-04,Aston Martin,2,0
2008-04,Ssangyong,1,0
2008-04,Ferrari,1,0
2008-04,Maserati,1,0
2008-04,Isuzu,1,0
2008-05,Volkswagen,1402,137
2008-05,Toyota,1259,123
2008-05,Ford,984,96
2008-05,Volvo,724,71
2008-05,Peugeot,590,58
2008-05,Audi,569,56
2008-05,Nissan,474,46
2008-05,Skoda,466,46
2008-05,BMW,441,43
2008-05,Opel,437,43
2008-05,Mercedes-Benz,392,38
2008-05,Mazda,345,34
2008-05,Mitsubishi,321,31
2008-05,Suzuki,304,3
2008-05,Honda,302,3
2008-05,Citroen,217,21
2008-05,Subaru,199,19
2008-05,Saab,175,17
2008-05,Hyundai,155,15
2008-05,Kia,107,1
2008-05,Fiat,74,07
2008-05,Renault,67,07
2008-05,Chevrolet,30,03
2008-05,Jeep,25,02
2008-05,Jaguar,25,02
2008-05,MINI,22,02
2008-05,Daihatsu,22,02
2008-05,Land Rover,21,02
2008-05,Dodge,19,02
2008-05,Lexus,14,01
2008-05,Chrysler,7,01
2008-05,Iveco,7,01
2008-05,Smart,6,01
2008-05,Alfa Romeo,4,0
2008-05,Porsche,3,0
2008-05,Nilsson,2,0
2008-05,Ssangyong,2,0
2008-05,Maserati,2,0
2008-05,Morgan,1,0
2008-05,Koenigsegg,1,0
2008-06,Volkswagen,1182,122
2008-06,Toyota,1141,118
2008-06,Ford,898,93
2008-06,Audi,693,72
2008-06,Volvo,672,69
2008-06,BMW,593,61
2008-06,Nissan,476,49
2008-06,Peugeot,427,44
2008-06,Opel,399,41
2008-06,Skoda,370,38
2008-06,Mazda,346,36
2008-06,Honda,337,35
2008-06,Mercedes-Benz,329,34
2008-06,Mitsubishi,283,29
2008-06,Suzuki,264,27
2008-06,Citroen,253,26
2008-06,Subaru,217,22
2008-06,Saab,170,18
2008-06,Hyundai,150,16
2008-06,Kia,107,11
2008-06,Fiat,67,07
2008-06,Renault,62,06
2008-06,Dodge,40,04
2008-06,MINI,35,04
2008-06,Chevrolet,28,03
2008-06,Jeep,19,02
2008-06,Daihatsu,19,02
2008-06,Land Rover,19,02
2008-06,Lexus,18,02
2008-06,Jaguar,16,02
2008-06,Alfa Romeo,11,01
2008-06,Iveco,6,01
2008-06,Think,6,01
2008-06,Smart,4,0
2008-06,Chrysler,3,0
2008-06,Porsche,3,0
2008-06,Ssangyong,2,0
2008-06,Aston Martin,2,0
2008-06,Cadillac,2,0
2008-06,Morgan,1,0
2008-07,Toyota,1315,137
2008-07,Volkswagen,1203,125
2008-07,Ford,1056,11
2008-07,Volvo,601,63
2008-07,Audi,594,62
2008-07,Peugeot,581,6
2008-07,Opel,472,49
2008-07,Nissan,400,42
2008-07,BMW,386,4
2008-07,Mazda,362,38
2008-07,Skoda,322,34
2008-07,Mitsubishi,290,3
2008-07,Honda,283,29
2008-07,Suzuki,276,29
2008-07,Mercedes-Benz,275,29
2008-07,Subaru,206,21
2008-07,Citroen,179,19
2008-07,Hyundai,162,17
2008-07,Saab,141,15
2008-07,Kia,106,11
2008-07,Renault,86,09
2008-07,Think,52,05
2008-07,Dodge,42,04
2008-07,Fiat,37,04
2008-07,Jeep,35,04
2008-07,MINI,33,03
2008-07,Chevrolet,28,03
2008-07,Lexus,15,02
2008-07,Jaguar,15,02
2008-07,Alfa Romeo,15,02
2008-07,Daihatsu,9,01
2008-07,Land Rover,9,01
2008-07,Chrysler,5,01
2008-07,Ssangyong,4,0
2008-07,Smart,2,0
2008-07,Porsche,2,0
2008-07,Nilsson,2,0
2008-07,Morgan,2,0
2008-07,Iveco,1,0
2008-07,Maserati,1,0
2008-08,Volkswagen,1432,183
2008-08,Toyota,1002,128
2008-08,Ford,658,84
2008-08,Audi,574,73
2008-08,Peugeot,457,58
2008-08,Mazda,347,44
2008-08,Skoda,327,42
2008-08,Honda,312,4
2008-08,Mercedes-Benz,295,38
2008-08,Nissan,279,36
2008-08,BMW,278,35
2008-08,Opel,271,35
2008-08,Volvo,270,34
2008-08,Mitsubishi,251,32
2008-08,Suzuki,206,26
2008-08,Subaru,152,19
2008-08,Citroen,134,17
2008-08,Hyundai,111,14
2008-08,Saab,73,09
2008-08,Kia,59,08
2008-08,Fiat,57,07
2008-08,Dodge,49,06
2008-08,Renault,46,06
2008-08,Think,38,05
2008-08,MINI,30,04
2008-08,Chevrolet,26,03
2008-08,Jeep,23,03
2008-08,Daihatsu,19,02
2008-08,Lexus,14,02
2008-08,Land Rover,12,02
2008-08,Alfa Romeo,11,01
2008-08,Porsche,6,01
2008-08,Jaguar,4,01
2008-08,Chrysler,4,01
2008-08,Smart,4,01
2008-08,Iveco,1,0
2008-08,Morgan,1,0
2008-09,Toyota,1250,148
2008-09,Volkswagen,1229,145
2008-09,Ford,764,9
2008-09,Audi,545,64
2008-09,Volvo,457,54
2008-09,Honda,394,47
2008-09,Peugeot,383,45
2008-09,BMW,371,44
2008-09,Mazda,359,42
2008-09,Nissan,319,38
2008-09,Skoda,306,36
2008-09,Opel,302,36
2008-09,Mitsubishi,287,34
2008-09,Mercedes-Benz,278,33
2008-09,Hyundai,212,25
2008-09,Suzuki,207,24
2008-09,Subaru,197,23
2008-09,Saab,132,16
2008-09,Citroen,121,14
2008-09,Kia,73,09
2008-09,Fiat,47,06
2008-09,Renault,38,04
2008-09,Dodge,30,04
2008-09,Chevrolet,28,03
2008-09,MINI,27,03
2008-09,Jeep,24,03
2008-09,Lexus,18,02
2008-09,Daihatsu,17,02
2008-09,Land Rover,9,01
2008-09,Chrysler,9,01
2008-09,Jaguar,4,0
2008-09,Alfa Romeo,4,0
2008-09,Smart,3,0
2008-09,Isuzu,3,0
2008-09,Ssangyong,2,0
2008-09,Iveco,1,0
2008-09,Porsche,1,0
2008-09,Cadillac,1,0
2008-09,Lancia,1,0
2008-10,Volkswagen,1442,172
2008-10,Toyota,1247,149
2008-10,Ford,701,84
2008-10,Audi,578,69
2008-10,Volvo,472,56
2008-10,Peugeot,449,54
2008-10,BMW,395,47
2008-10,Nissan,346,41
2008-10,Skoda,283,34
2008-10,Mazda,275,33
2008-10,Mercedes-Benz,260,31
2008-10,Subaru,245,29
2008-10,Opel,241,29
2008-10,Suzuki,231,28
2008-10,Mitsubishi,214,26
2008-10,Honda,214,26
2008-10,Hyundai,146,17
2008-10,Citroen,142,17
2008-10,Saab,116,14
2008-10,Kia,76,09
2008-10,Fiat,61,07
2008-10,Renault,54,06
2008-10,MINI,37,04
2008-10,Chevrolet,26,03
2008-10,Dodge,25,03
2008-10,Lexus,19,02
2008-10,Chrysler,18,02
2008-10,Land Rover,17,02
2008-10,Daihatsu,15,02
2008-10,Jeep,10,01
2008-10,Porsche,10,01
2008-10,Alfa Romeo,9,01
2008-10,Jaguar,7,01
2008-10,Smart,3,0
2008-10,Ssangyong,3,0
2008-10,Iveco,2,0
2008-10,Lancia,1,0
2008-11,Volkswagen,1306,188
2008-11,Toyota,760,109
2008-11,Ford,639,92
2008-11,Audi,522,75
2008-11,Volvo,478,69
2008-11,Peugeot,333,48
2008-11,Mercedes-Benz,302,43
2008-11,Nissan,293,42
2008-11,BMW,262,38
2008-11,Subaru,255,37
2008-11,Skoda,252,36
2008-11,Opel,230,33
2008-11,Honda,211,3
2008-11,Mazda,209,3
2008-11,Mitsubishi,206,3
2008-11,Suzuki,160,23
2008-11,Hyundai,120,17
2008-11,Citroen,108,16
2008-11,Saab,65,09
2008-11,Kia,54,08
2008-11,Fiat,42,06
2008-11,Dodge,27,04
2008-11,Renault,24,03
